plate	well	parental	pausecodon	pauselocation	replicate	strain_id	strain_label	comment
1	B3	yfp0	CTA	2,14	1	ecMF83.1	yfp0_CTA2,14	
1	B4	yfp0	CTA	2,18	1	ecMF84.1	yfp0_CTA2,18	
1	B5	yfp0	CTA	6,14	1	ecMF85.1	yfp0_CTA6,14	
1	B6	yfp0	CTA	6,18	1	ecMF86.1	yfp0_CTA6,18	
1	B7	yfp0	CTA	10,14	1	ecMF87.1	yfp0_CTA10,14	
1	B8	yfp0	CTA	10,18	1	ecMF88.1	yfp0_CTA10,18	
1	B9	yfp0	CTA	2,6	1	ecMF89.1	yfp0_CTA2,6	
1	B10	yfp0	CTA	14,18	1	ecMF90.1	yfp0_CTA14,18	
1	E3	yfp0	CTA	2,10	1	ecMF91.1	yfp0_CTA2,10	
1	E4	yfp0	CTA	6,10	1	ecMF92.1	yfp0_CTA6,10	
1	E5	yfp0	CTA	2	1	ecMF62.1	yfp0_CTA2	
1	E6	yfp0	CTA	6	1	ecMF66.1	yfp0_CTA6	
1	E7	yfp0	CTA	10	1	ecMF68.1	yfp0_CTA10	
1	E8	yfp0	CTA	14	1	ecMF72.1	yfp0_CTA14	
1	E9	yfp0	CTA	18	1	ecMF74.1	yfp0_CTA18	
1	E10	yfp0	NA	NA	1	ecMF82.1	yfp0	
1	E11	yfp0	CTA	4,5,6,7,8,9,10	1	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
2	B3	yfp0	CTC	2,14	1	ecMF113.1	yfp0_CTC2,14	
2	B4	yfp0	CTC	2,18	1	ecMF114.1	yfp0_CTC2,18	
2	B5	yfp0	CTC	6,14	1	ecMF115.1	yfp0_CTC6,14	
2	B6	yfp0	CTC	6,18	1	ecMF116.1	yfp0_CTC6,18	
2	B7	yfp0	CTC	10,14	1	ecMF117.1	yfp0_CTC10,14	
2	B8	yfp0	CTC	10,18	1	ecMF118.1	yfp0_CTC10,18	
2	B9	yfp0	CTC	2,6	1	ecMF119.1	yfp0_CTC2,6	
2	B10	yfp0	CTC	14,18	1	ecMF120.1	yfp0_CTC14,18	
2	E3	yfp0	CTC	2,10	1	ecMF121.1	yfp0_CTC2,10	
2	E4	yfp0	CTC	6,10	1	ecMF122.1	yfp0_CTC6,10	
2	E5	yfp0	CTC	2	1	ecMF93.1	yfp0_CTC2	
2	E6	yfp0	CTC	6	1	ecMF94.1	yfp0_CTC6	
2	E7	yfp0	CTC	10	1	ecMF95.1	yfp0_CTC10	
2	E8	yfp0	CTC	14	1	ecMF96.1	yfp0_CTC14	
2	E9	yfp0	CTC	18	1	ecMF97.1	yfp0_CTC18	
2	E10	yfp0	NA	NA	1	ecMF82.1	yfp0	
2	E11	yfp0	CTA	4,5,6,7,8,9,10	1	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
3	B3	yfp0	CTT	2,14	1	ecMF123.1	yfp0_CTT2,14	
3	B4	yfp0	CTT	2,18	1	ecMF124.1	yfp0_CTT2,18	
3	B5	yfp0	CTT	6,14	1	ecMF125.1	yfp0_CTT6,14	
3	B6	yfp0	CTT	6,18	1	ecMF126.1	yfp0_CTT6,18	
3	B7	yfp0	CTT	10,14	1	ecMF127.1	yfp0_CTT10,14	
3	B8	yfp0	CTT	10,18	1	ecMF128.1	yfp0_CTT10,18	
3	B9	yfp0	CTT	2,6	1	ecMF129.1	yfp0_CTT2,6	
3	B10	yfp0	CTT	14,18	1	ecMF130.1	yfp0_CTT14,18	
3	B11	NA	NA	NA	NA	NA	NA	blank
3	E3	yfp0	CTT	2,10	1	ecMF131.1	yfp0_CTT2,10	
3	E4	yfp0	CTT	6,10	1	ecMF132.1	yfp0_CTT6,10	
3	E5	yfp0	CTT	2	1	ecMF98.1	yfp0_CTT2	
3	E6	yfp0	CTT	6	1	ecMF99.1	yfp0_CTT6	
3	E7	yfp0	CTT	10	1	ecMF100.1	yfp0_CTT10	
3	E8	yfp0	CTT	14	1	ecMF101.1	yfp0_CTT14	
3	E9	yfp0	CTT	18	1	ecMF102.1	yfp0_CTT18	
3	E10	yfp0	NA	NA	1	ecMF82.1	yfp0	
3	E11	yfp0	CTA	4,5,6,7,8,9,10	1	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
1	C3	yfp0	CTA	2,14	2	ecMF83.1	yfp0_CTA2,14	
1	C4	yfp0	CTA	2,18	2	ecMF84.1	yfp0_CTA2,18	
1	C5	yfp0	CTA	6,14	2	ecMF85.1	yfp0_CTA6,14	
1	C6	yfp0	CTA	6,18	2	ecMF86.1	yfp0_CTA6,18	
1	C7	yfp0	CTA	10,14	2	ecMF87.1	yfp0_CTA10,14	
1	C8	yfp0	CTA	10,18	2	ecMF88.1	yfp0_CTA10,18	
1	C9	yfp0	CTA	2,6	2	ecMF89.1	yfp0_CTA2,6	
1	C10	yfp0	CTA	14,18	2	ecMF90.1	yfp0_CTA14,18	
1	F3	yfp0	CTA	2,10	2	ecMF91.1	yfp0_CTA2,10	
1	F4	yfp0	CTA	6,10	2	ecMF92.1	yfp0_CTA6,10	
1	F5	yfp0	CTA	2	2	ecMF62.1	yfp0_CTA2	
1	F6	yfp0	CTA	6	2	ecMF66.1	yfp0_CTA6	
1	F7	yfp0	CTA	10	2	ecMF68.1	yfp0_CTA10	
1	F8	yfp0	CTA	14	2	ecMF72.1	yfp0_CTA14	
1	F9	yfp0	CTA	18	2	ecMF74.1	yfp0_CTA18	
1	F10	yfp0	NA	NA	2	ecMF82.1	yfp0	
1	F11	yfp0	CTA	4,5,6,7,8,9,10	2	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
2	C3	yfp0	CTC	2,14	2	ecMF113.1	yfp0_CTC2,14	
2	C4	yfp0	CTC	2,18	2	ecMF114.1	yfp0_CTC2,18	
2	C5	yfp0	CTC	6,14	2	ecMF115.1	yfp0_CTC6,14	
2	C6	yfp0	CTC	6,18	2	ecMF116.1	yfp0_CTC6,18	
2	C7	yfp0	CTC	10,14	2	ecMF117.1	yfp0_CTC10,14	
2	C8	yfp0	CTC	10,18	2	ecMF118.1	yfp0_CTC10,18	
2	C9	yfp0	CTC	2,6	2	ecMF119.1	yfp0_CTC2,6	
2	C10	yfp0	CTC	14,18	2	ecMF120.1	yfp0_CTC14,18	
2	F3	yfp0	CTC	2,10	2	ecMF121.1	yfp0_CTC2,10	
2	F4	yfp0	CTC	6,10	2	ecMF122.1	yfp0_CTC6,10	
2	F5	yfp0	CTC	2	2	ecMF93.1	yfp0_CTC2	
2	F6	yfp0	CTC	6	2	ecMF94.1	yfp0_CTC6	
2	F7	yfp0	CTC	10	2	ecMF95.1	yfp0_CTC10	
2	F8	yfp0	CTC	14	2	ecMF96.1	yfp0_CTC14	
2	F9	yfp0	CTC	18	2	ecMF97.1	yfp0_CTC18	
2	F10	yfp0	NA	NA	2	ecMF82.1	yfp0	
2	F11	yfp0	CTA	4,5,6,7,8,9,10	2	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
3	C3	yfp0	CTT	2,14	2	ecMF123.1	yfp0_CTT2,14	
3	C4	yfp0	CTT	2,18	2	ecMF124.1	yfp0_CTT2,18	
3	C5	yfp0	CTT	6,14	2	ecMF125.1	yfp0_CTT6,14	
3	C6	yfp0	CTT	6,18	2	ecMF126.1	yfp0_CTT6,18	
3	C7	yfp0	CTT	10,14	2	ecMF127.1	yfp0_CTT10,14	
3	C8	yfp0	CTT	10,18	2	ecMF128.1	yfp0_CTT10,18	
3	C9	yfp0	CTT	2,6	2	ecMF129.1	yfp0_CTT2,6	
3	C10	yfp0	CTT	14,18	2	ecMF130.1	yfp0_CTT14,18	
3	C11	NA	NA	NA	2	NA	NA	blank
3	F3	yfp0	CTT	2,10	2	ecMF131.1	yfp0_CTT2,10	
3	F4	yfp0	CTT	6,10	2	ecMF132.1	yfp0_CTT6,10	
3	F5	yfp0	CTT	2	2	ecMF98.1	yfp0_CTT2	
3	F6	yfp0	CTT	6	2	ecMF99.1	yfp0_CTT6	
3	F7	yfp0	CTT	10	2	ecMF100.1	yfp0_CTT10	
3	F8	yfp0	CTT	14	2	ecMF101.1	yfp0_CTT14	
3	F9	yfp0	CTT	18	2	ecMF102.1	yfp0_CTT18	
3	F10	yfp0	NA	NA	2	ecMF82.1	yfp0	
3	F11	yfp0	CTA	4,5,6,7,8,9,10	2	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
1	D3	yfp0	CTA	2,14	3	ecMF83.1	yfp0_CTA2,14	
1	D4	yfp0	CTA	2,18	3	ecMF84.1	yfp0_CTA2,18	
1	D5	yfp0	CTA	6,14	3	ecMF85.1	yfp0_CTA6,14	
1	D6	yfp0	CTA	6,18	3	ecMF86.1	yfp0_CTA6,18	
1	D7	yfp0	CTA	10,14	3	ecMF87.1	yfp0_CTA10,14	
1	D8	yfp0	CTA	10,18	3	ecMF88.1	yfp0_CTA10,18	
1	D9	yfp0	CTA	2,6	3	ecMF89.1	yfp0_CTA2,6	
1	D10	yfp0	CTA	14,18	3	ecMF90.1	yfp0_CTA14,18	
1	G3	yfp0	CTA	2,10	3	ecMF91.1	yfp0_CTA2,10	
1	G4	yfp0	CTA	6,10	3	ecMF92.1	yfp0_CTA6,10	
1	G5	yfp0	CTA	2	3	ecMF62.1	yfp0_CTA2	
1	G6	yfp0	CTA	6	3	ecMF66.1	yfp0_CTA6	
1	G7	yfp0	CTA	10	3	ecMF68.1	yfp0_CTA10	
1	G8	yfp0	CTA	14	3	ecMF72.1	yfp0_CTA14	
1	G9	yfp0	CTA	18	3	ecMF74.1	yfp0_CTA18	
1	G10	yfp0	NA	NA	3	ecMF82.1	yfp0	
1	G11	yfp0	CTA	4,5,6,7,8,9,10	3	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
2	D3	yfp0	CTC	2,14	3	ecMF113.1	yfp0_CTC2,14	
2	D4	yfp0	CTC	2,18	3	ecMF114.1	yfp0_CTC2,18	
2	D5	yfp0	CTC	6,14	3	ecMF115.1	yfp0_CTC6,14	
2	D6	yfp0	CTC	6,18	3	ecMF116.1	yfp0_CTC6,18	
2	D7	yfp0	CTC	10,14	3	ecMF117.1	yfp0_CTC10,14	
2	D8	yfp0	CTC	10,18	3	ecMF118.1	yfp0_CTC10,18	
2	D9	yfp0	CTC	2,6	3	ecMF119.1	yfp0_CTC2,6	
2	D10	yfp0	CTC	14,18	3	ecMF120.1	yfp0_CTC14,18	
2	G3	yfp0	CTC	2,10	3	ecMF121.1	yfp0_CTC2,10	
2	G4	yfp0	CTC	6,10	3	ecMF122.1	yfp0_CTC6,10	
2	G5	yfp0	CTC	2	3	ecMF93.1	yfp0_CTC2	
2	G6	yfp0	CTC	6	3	ecMF94.1	yfp0_CTC6	
2	G7	yfp0	CTC	10	3	ecMF95.1	yfp0_CTC10	
2	G8	yfp0	CTC	14	3	ecMF96.1	yfp0_CTC14	
2	G9	yfp0	CTC	18	3	ecMF97.1	yfp0_CTC18	
2	G10	yfp0	NA	NA	3	ecMF82.1	yfp0	
2	G11	yfp0	CTA	4,5,6,7,8,9,10	3	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
3	D3	yfp0	CTT	2,14	3	ecMF123.1	yfp0_CTT2,14	
3	D4	yfp0	CTT	2,18	3	ecMF124.1	yfp0_CTT2,18	
3	D5	yfp0	CTT	6,14	3	ecMF125.1	yfp0_CTT6,14	
3	D6	yfp0	CTT	6,18	3	ecMF126.1	yfp0_CTT6,18	
3	D7	yfp0	CTT	10,14	3	ecMF127.1	yfp0_CTT10,14	
3	D8	yfp0	CTT	10,18	3	ecMF128.1	yfp0_CTT10,18	
3	D9	yfp0	CTT	2,6	3	ecMF129.1	yfp0_CTT2,6	
3	D10	yfp0	CTT	14,18	3	ecMF130.1	yfp0_CTT14,18	
3	D11	NA	NA	NA	3	NA	NA	blank
3	G3	yfp0	CTT	2,10	3	ecMF131.1	yfp0_CTT2,10	
3	G4	yfp0	CTT	6,10	3	ecMF132.1	yfp0_CTT6,10	
3	G5	yfp0	CTT	2	3	ecMF98.1	yfp0_CTT2	
3	G6	yfp0	CTT	6	3	ecMF99.1	yfp0_CTT6	
3	G7	yfp0	CTT	10	3	ecMF100.1	yfp0_CTT10	
3	G8	yfp0	CTT	14	3	ecMF101.1	yfp0_CTT14	
3	G9	yfp0	CTT	18	3	ecMF102.1	yfp0_CTT18	
3	G10	yfp0	NA	NA	3	ecMF82.1	yfp0	
3	G11	yfp0	CTA	4,5,6,7,8,9,10	3	ecMF112.1	yfp0_CTA4,5,6,7,8,9,10	
